Symbol,Security,ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Level,Data Date
DXCM,DexCom,27,5.9,13,8.2,2,2021-05
FANG,Diamondback Energy,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DLR,Digital Realty Trust Inc,14,3.4,5.4,5.4,1,2021-05
DFS,Discover Financial Services,24,0.1,13.6,9.8,1,2021-05
DISCA,"Discovery, Inc. (Series A)",18,0.2,9.1,9.1,1,2021-05
DISCK,"Discovery, Inc. (Series C)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DISH,Dish Network,22,1.7,11.3,9.4,3,2021-05
DG,Dollar General,17,3.3,8.5,5.2,2,2021-05
DLTR,Dollar Tree,18,3.4,8.5,5.9,2,2021-05
D,Dominion Energy,28,13,9,6.2,2,2021-05
DPZ,Domino's Pizza,26,4.8,14.8,6.7,2,2021-05
DOV,Dover Corporation,28,7.8,14.1,6.4,1,2021-05
DOW,Dow Inc.,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DTE,DTE Energy Co.,32,15.9,9.4,6.2,2,2021-05
DUK,Duke Energy,29,15.1,8.5,5.2,3,2021-05
DRE,Duke Realty Corp,13,4.6,3.9,4.8,0,2021-05
DD,DuPont de Nemours Inc,30,13.5,9.1,7.4,3,2021-05
DXC,DXC Technology,14,1.2,7.2,5.6,2,2021-05
EMN,Eastman Chemical,24,11.5,5.3,7.4,2,2021-05
ETN,Eaton Corporation,17,4.9,6.5,5.5,1,2021-05
EBAY,eBay Inc.,17,0.9,9.3,6.4,2,2021-05
ECL,Ecolab Inc.,26,10.4,8.6,6.7,2,2021-05
EIX,Edison Int'l,29,11.4,11.9,6.1,3,2021-05
EW,Edwards Lifesciences,19,2.4,9,7.4,2,2021-05
EA,Electronic Arts,13,0.1,7.3,5.3,2,2021-05
EMR,Emerson Electric Company,30,9.2,14.3,6.9,2,2021-05
ENPH,Enphase Energy,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ETR,Entergy Corp.,34,19,8.5,6.3,2,2021-05
EOG,EOG Resources,39,19.7,11.1,8.2,1,2021-05
EFX,Equifax Inc.,25,0.1,17.3,7.1,4,2021-05
EQIX,Equinix,14,3.3,5.7,5.3,1,2021-05
EQR,Equity Residential,14,4.8,4.1,4.8,0,2021-05
ESS,"Essex Property Trust, Inc.",13,3.9,3.5,5.8,0,2021-05
EL,Estée Lauder Companies,24,6.9,9.3,8.1,2,2021-05
ETSY,Etsy,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EVRG,Evergy,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ES,Eversource Energy,21,6,9.3,6.1,2,2021-05
RE,Everest Re Group Ltd.,18,1,7,10.2,1,2021-05
EXC,Exelon Corp.,25,9.9,8.9,6.6,3,2021-05
EXPE,Expedia Group,24,4.1,11.1,8.4,2,2021-05
EXPD,Expeditors,18,4.1,9.2,4.7,0,2021-05
EXR,Extra Space Storage,14,4,4.1,5.8,1,2021-05
XOM,Exxon Mobil Corp.,35,16.1,10.6,8.2,2,2021-05
FFIV,F5 Networks,19,1.3,12.5,5.4,0,2021-05
FB,"Facebook, Inc.",25,1.1,13.5,10.2,4,2021-05
FAST,Fastenal Co,25,8.9,8.7,7.1,2,2021-05
FRT,Federal Realty Investment Trust,13,2.3,4.3,6.1,1,2021-05
FDX,FedEx Corporation,21,5.1,10,6.2,3,2021-05
FIS,Fidelity National Information Services,19,0.1,11.7,6.8,1,2021-05
FITB,Fifth Third Bancorp,26,2.2,13.2,10.4,2,2021-05
FE,FirstEnergy Corp,35,17.4,9.8,7.3,3,2021-05
FRC,First Republic Bank,25,1.9,11.6,11.7,1,2021-05
FISV,Fiserv Inc,20,0.2,12.1,7.5,2,2021-05
FLT,FleetCor Technologies Inc,19,0.1,11.2,7.2,2,2021-05
FMC,FMC Corporation,39,17.9,13.5,7.3,2,2021-05
F,Ford Motor Company,31,9.4,12.2,9.6,3,2021-05
FTNT,Fortinet,21,1.4,13.9,6.2,2,2021-05
FTV,Fortive Corp,35,15.6,14.2,5.5,2,2021-5
FBHS,Fortune Brands Home & Security,25,13.9,3.7,7.3,0,2021-05
FOXA,Fox Corporation (Class A),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FOX,Fox Corporation (Class B),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BEN,Franklin Resources,20,1.1,10.5,8.2,2,2021-05
FCX,Freeport-McMoRan Inc.,34,18.5,10.5,5.3,4,2021-05
